Nr	Kurskod	Anmkod	Läsår	benämning	Enhet	creator	Kurstillfälle	Kursplan sve	Kursplan eng	Json	benamning
750	PNS0056	P0055	0910		595	sol	"<a href=""https://slukurs.slu.se/arkivering/kurstillfallePhD.cfm?anmkod=P0055.0910"" target=""_blank"">Kurstillfalle</a>"	"<a href=""https://slukurs.slu.se/arkivering/kursplanPhD.cfm?Kurskod=PNS0056"" target=""_blank"">Kursplan sv</a>"	"<a href=""https://slukurs.slu.se/arkivering/kursplanPhD.cfm?Kurskod=PNS0056"" target=""_blank"">Kursplan en</a>"	"<a href=""kursplanPhDJson.cfm?Kurskod=PNS0056"" target=""_blank"">Json</a>"	Nordic Rural Futures 2: Historical, social, economic and political approaches
751	PNS0057	P0056	0910		595	sol	"<a href=""https://slukurs.slu.se/arkivering/kurstillfallePhD.cfm?anmkod=P0056.0910"" target=""_blank"">Kurstillfalle</a>"	"<a href=""https://slukurs.slu.se/arkivering/kursplanPhD.cfm?Kurskod=PNS0057"" target=""_blank"">Kursplan sv</a>"	"<a href=""https://slukurs.slu.se/arkivering/kursplanPhD.cfm?Kurskod=PNS0057"" target=""_blank"">Kursplan en</a>"	"<a href=""kursplanPhDJson.cfm?Kurskod=PNS0057"" target=""_blank"">Json</a>"	Nordic Rural Futures I: Historical, social, economic and political approaches.
752	PNS0061	P0056	1011		480	vbsg	"<a href=""https://slukurs.slu.se/arkivering/kurstillfallePhD.cfm?anmkod=P0056.1011"" target=""_blank"">Kurstillfalle</a>"	"<a href=""https://slukurs.slu.se/arkivering/kursplanPhD.cfm?Kurskod=PNS0061"" target=""_blank"">Kursplan sv</a>"	"<a href=""https://slukurs.slu.se/arkivering/kursplanPhD.cfm?Kurskod=PNS0061"" target=""_blank"">Kursplan en</a>"	"<a href=""kursplanPhDJson.cfm?Kurskod=PNS0061"" target=""_blank"">Json</a>"	Digital Images and Scientific Illustrations
753	PNS0061	P0064	1415		480	vbsg	"<a href=""https://slukurs.slu.se/arkivering/kurstillfallePhD.cfm?anmkod=P0064.1415"" target=""_blank"">Kurstillfalle</a>"	"<a href=""https://slukurs.slu.se/arkivering/kursplanPhD.cfm?Kurskod=PNS0061"" target=""_blank"">Kursplan sv</a>"	"<a href=""https://slukurs.slu.se/arkivering/kursplanPhD.cfm?Kurskod=PNS0061"" target=""_blank"">Kursplan en</a>"	"<a href=""kursplanPhDJson.cfm?Kurskod=PNS0061"" target=""_blank"">Json</a>"	Digital Images and Scientific Illustrations
754	PNS0062	P0063	0910		595	sol	"<a href=""https://slukurs.slu.se/arkivering/kurstillfallePhD.cfm?anmkod=P0063.0910"" target=""_blank"">Kurstillfalle</a>"	"<a href=""https://slukurs.slu.se/arkivering/kursplanPhD.cfm?Kurskod=PNS0062"" target=""_blank"">Kursplan sv</a>"	"<a href=""https://slukurs.slu.se/arkivering/kursplanPhD.cfm?Kurskod=PNS0062"" target=""_blank"">Kursplan en</a>"	"<a href=""kursplanPhDJson.cfm?Kurskod=PNS0062"" target=""_blank"">Json</a>"	Planning Theory and Impact Assessment
755	PNS0063	P0064	0910		595	sol	"<a href=""https://slukurs.slu.se/arkivering/kurstillfallePhD.cfm?anmkod=P0064.0910"" target=""_blank"">Kurstillfalle</a>"	"<a href=""https://slukurs.slu.se/arkivering/kursplanPhD.cfm?Kurskod=PNS0063"" target=""_blank"">Kursplan sv</a>"	"<a href=""https://slukurs.slu.se/arkivering/kursplanPhD.cfm?Kurskod=PNS0063"" target=""_blank"">Kursplan en</a>"	"<a href=""kursplanPhDJson.cfm?Kurskod=PNS0063"" target=""_blank"">Json</a>"	Planning Theory and Impact Assessment
756	PNS0065	P0065	0910		415	ekol	"<a href=""https://slukurs.slu.se/arkivering/kurstillfallePhD.cfm?anmkod=P0065.0910"" target=""_blank"">Kurstillfalle</a>"	"<a href=""https://slukurs.slu.se/arkivering/kursplanPhD.cfm?Kurskod=PNS0065"" target=""_blank"">Kursplan sv</a>"	"<a href=""https://slukurs.slu.se/arkivering/kursplanPhD.cfm?Kurskod=PNS0065"" target=""_blank"">Kursplan en</a>"	"<a href=""kursplanPhDJson.cfm?Kurskod=PNS0065"" target=""_blank"">Json</a>"	Upgrading Your Ecological Toolbox
757	PNS0066	P0070	0910		435	mark	"<a href=""https://slukurs.slu.se/arkivering/kurstillfallePhD.cfm?anmkod=P0070.0910"" target=""_blank"">Kurstillfalle</a>"	"<a href=""https://slukurs.slu.se/arkivering/kursplanPhD.cfm?Kurskod=PNS0066"" target=""_blank"">Kursplan sv</a>"	"<a href=""https://slukurs.slu.se/arkivering/kursplanPhD.cfm?Kurskod=PNS0066"" target=""_blank"">Kursplan en</a>"	"<a href=""kursplanPhDJson.cfm?Kurskod=PNS0066"" target=""_blank"">Json</a>"	Modellering av markens organiska material
758	PNS0070	P0052	1112		595	sol	"<a href=""https://slukurs.slu.se/arkivering/kurstillfallePhD.cfm?anmkod=P0052.1112"" target=""_blank"">Kurstillfalle</a>"	"<a href=""https://slukurs.slu.se/arkivering/kursplanPhD.cfm?Kurskod=PNS0070"" target=""_blank"">Kursplan sv</a>"	"<a href=""https://slukurs.slu.se/arkivering/kursplanPhD.cfm?Kurskod=PNS0070"" target=""_blank"">Kursplan en</a>"	"<a href=""kursplanPhDJson.cfm?Kurskod=PNS0070"" target=""_blank"">Json</a>"	Fallstudiemetodik
759	PNS0070	P0056	1415		595	sol	"<a href=""https://slukurs.slu.se/arkivering/kurstillfallePhD.cfm?anmkod=P0056.1415"" target=""_blank"">Kurstillfalle</a>"	"<a href=""https://slukurs.slu.se/arkivering/kursplanPhD.cfm?Kurskod=PNS0070"" target=""_blank"">Kursplan sv</a>"	"<a href=""https://slukurs.slu.se/arkivering/kursplanPhD.cfm?Kurskod=PNS0070"" target=""_blank"">Kursplan en</a>"	"<a href=""kursplanPhDJson.cfm?Kurskod=PNS0070"" target=""_blank"">Json</a>"	Fallstudiemetodik
760	PNS0070	P0078	1516		595	sol	"<a href=""https://slukurs.slu.se/arkivering/kurstillfallePhD.cfm?anmkod=P0078.1516"" target=""_blank"">Kurstillfalle</a>"	"<a href=""https://slukurs.slu.se/arkivering/kursplanPhD.cfm?Kurskod=PNS0070"" target=""_blank"">Kursplan sv</a>"	"<a href=""https://slukurs.slu.se/arkivering/kursplanPhD.cfm?Kurskod=PNS0070"" target=""_blank"">Kursplan en</a>"	"<a href=""kursplanPhDJson.cfm?Kurskod=PNS0070"" target=""_blank"">Json</a>"	Fallstudiemetodik
761	PNS0072	P0025	1011		480	vbsg	"<a href=""https://slukurs.slu.se/arkivering/kurstillfallePhD.cfm?anmkod=P0025.1011"" target=""_blank"">Kurstillfalle</a>"	"<a href=""https://slukurs.slu.se/arkivering/kursplanPhD.cfm?Kurskod=PNS0072"" target=""_blank"">Kursplan sv</a>"	"<a href=""https://slukurs.slu.se/arkivering/kursplanPhD.cfm?Kurskod=PNS0072"" target=""_blank"">Kursplan en</a>"	"<a href=""kursplanPhDJson.cfm?Kurskod=PNS0072"" target=""_blank"">Json</a>"	Sekundärmetaboliter (3+4 hp)
762	PNS0074	P0007	2021		280	ma	"<a href=""https://slukurs.slu.se/arkivering/kurstillfallePhD.cfm?anmkod=P0007.2021"" target=""_blank"">Kurstillfalle</a>"	"<a href=""https://slukurs.slu.se/arkivering/kursplanPhD.cfm?Kurskod=PNS0074"" target=""_blank"">Kursplan sv</a>"	"<a href=""https://slukurs.slu.se/arkivering/kursplanPhD.cfm?Kurskod=PNS0074"" target=""_blank"">Kursplan en</a>"	"<a href=""kursplanPhDJson.cfm?Kurskod=PNS0074"" target=""_blank"">Json</a>"	Multivariata metoder för ekologer
763	PNS0074	P0008	1920		280	ma	"<a href=""https://slukurs.slu.se/arkivering/kurstillfallePhD.cfm?anmkod=P0008.1920"" target=""_blank"">Kurstillfalle</a>"	"<a href=""https://slukurs.slu.se/arkivering/kursplanPhD.cfm?Kurskod=PNS0074"" target=""_blank"">Kursplan sv</a>"	"<a href=""https://slukurs.slu.se/arkivering/kursplanPhD.cfm?Kurskod=PNS0074"" target=""_blank"">Kursplan en</a>"	"<a href=""kursplanPhDJson.cfm?Kurskod=PNS0074"" target=""_blank"">Json</a>"	Multivariata metoder för ekologer
764	PNS0074	P0009	2223		280	ma	"<a href=""https://slukurs.slu.se/arkivering/kurstillfallePhD.cfm?anmkod=P0009.2223"" target=""_blank"">Kurstillfalle</a>"	"<a href=""https://slukurs.slu.se/arkivering/kursplanPhD.cfm?Kurskod=PNS0074"" target=""_blank"">Kursplan sv</a>"	"<a href=""https://slukurs.slu.se/arkivering/kursplanPhD.cfm?Kurskod=PNS0074"" target=""_blank"">Kursplan en</a>"	"<a href=""kursplanPhDJson.cfm?Kurskod=PNS0074"" target=""_blank"">Json</a>"	Multivariata metoder för ekologer
765	PNS0074	P0028	1011		280	ma	"<a href=""https://slukurs.slu.se/arkivering/kurstillfallePhD.cfm?anmkod=P0028.1011"" target=""_blank"">Kurstillfalle</a>"	"<a href=""https://slukurs.slu.se/arkivering/kursplanPhD.cfm?Kurskod=PNS0074"" target=""_blank"">Kursplan sv</a>"	"<a href=""https://slukurs.slu.se/arkivering/kursplanPhD.cfm?Kurskod=PNS0074"" target=""_blank"">Kursplan en</a>"	"<a href=""kursplanPhDJson.cfm?Kurskod=PNS0074"" target=""_blank"">Json</a>"	Multivariata metoder för ekologer
766	PNS0074	P0028	1213		280	ma	"<a href=""https://slukurs.slu.se/arkivering/kurstillfallePhD.cfm?anmkod=P0028.1213"" target=""_blank"">Kurstillfalle</a>"	"<a href=""https://slukurs.slu.se/arkivering/kursplanPhD.cfm?Kurskod=PNS0074"" target=""_blank"">Kursplan sv</a>"	"<a href=""https://slukurs.slu.se/arkivering/kursplanPhD.cfm?Kurskod=PNS0074"" target=""_blank"">Kursplan en</a>"	"<a href=""kursplanPhDJson.cfm?Kurskod=PNS0074"" target=""_blank"">Json</a>"	Multivariata metoder för ekologer
767	PNS0074	P0030	1718		280	ma	"<a href=""https://slukurs.slu.se/arkivering/kurstillfallePhD.cfm?anmkod=P0030.1718"" target=""_blank"">Kurstillfalle</a>"	"<a href=""https://slukurs.slu.se/arkivering/kursplanPhD.cfm?Kurskod=PNS0074"" target=""_blank"">Kursplan sv</a>"	"<a href=""https://slukurs.slu.se/arkivering/kursplanPhD.cfm?Kurskod=PNS0074"" target=""_blank"">Kursplan en</a>"	"<a href=""kursplanPhDJson.cfm?Kurskod=PNS0074"" target=""_blank"">Json</a>"	Multivariata metoder för ekologer
768	PNS0074	P0039	1617		280	ma	"<a href=""https://slukurs.slu.se/arkivering/kurstillfallePhD.cfm?anmkod=P0039.1617"" target=""_blank"">Kurstillfalle</a>"	"<a href=""https://slukurs.slu.se/arkivering/kursplanPhD.cfm?Kurskod=PNS0074"" target=""_blank"">Kursplan sv</a>"	"<a href=""https://slukurs.slu.se/arkivering/kursplanPhD.cfm?Kurskod=PNS0074"" target=""_blank"">Kursplan en</a>"	"<a href=""kursplanPhDJson.cfm?Kurskod=PNS0074"" target=""_blank"">Json</a>"	Multivariata metoder för ekologer
769	PNS0074	P0039	2122		280	ma	"<a href=""https://slukurs.slu.se/arkivering/kurstillfallePhD.cfm?anmkod=P0039.2122"" target=""_blank"">Kurstillfalle</a>"	"<a href=""https://slukurs.slu.se/arkivering/kursplanPhD.cfm?Kurskod=PNS0074"" target=""_blank"">Kursplan sv</a>"	"<a href=""https://slukurs.slu.se/arkivering/kursplanPhD.cfm?Kurskod=PNS0074"" target=""_blank"">Kursplan en</a>"	"<a href=""kursplanPhDJson.cfm?Kurskod=PNS0074"" target=""_blank"">Json</a>"	Multivariata metoder för ekologer
770	PNS0074	P0040	1112		280	ma	"<a href=""https://slukurs.slu.se/arkivering/kurstillfallePhD.cfm?anmkod=P0040.1112"" target=""_blank"">Kurstillfalle</a>"	"<a href=""https://slukurs.slu.se/arkivering/kursplanPhD.cfm?Kurskod=PNS0074"" target=""_blank"">Kursplan sv</a>"	"<a href=""https://slukurs.slu.se/arkivering/kursplanPhD.cfm?Kurskod=PNS0074"" target=""_blank"">Kursplan en</a>"	"<a href=""kursplanPhDJson.cfm?Kurskod=PNS0074"" target=""_blank"">Json</a>"	Multivariata metoder för ekologer
771	PNS0074	P0049	1314		280	ma	"<a href=""https://slukurs.slu.se/arkivering/kurstillfallePhD.cfm?anmkod=P0049.1314"" target=""_blank"">Kurstillfalle</a>"	"<a href=""https://slukurs.slu.se/arkivering/kursplanPhD.cfm?Kurskod=PNS0074"" target=""_blank"">Kursplan sv</a>"	"<a href=""https://slukurs.slu.se/arkivering/kursplanPhD.cfm?Kurskod=PNS0074"" target=""_blank"">Kursplan en</a>"	"<a href=""kursplanPhDJson.cfm?Kurskod=PNS0074"" target=""_blank"">Json</a>"	Multivariata metoder för ekologer
772	PNS0074	P0049	1415		280	ma	"<a href=""https://slukurs.slu.se/arkivering/kurstillfallePhD.cfm?anmkod=P0049.1415"" target=""_blank"">Kurstillfalle</a>"	"<a href=""https://slukurs.slu.se/arkivering/kursplanPhD.cfm?Kurskod=PNS0074"" target=""_blank"">Kursplan sv</a>"	"<a href=""https://slukurs.slu.se/arkivering/kursplanPhD.cfm?Kurskod=PNS0074"" target=""_blank"">Kursplan en</a>"	"<a href=""kursplanPhDJson.cfm?Kurskod=PNS0074"" target=""_blank"">Json</a>"	Multivariata metoder för ekologer
773	PNS0074	P0060	1516		280	ma	"<a href=""https://slukurs.slu.se/arkivering/kurstillfallePhD.cfm?anmkod=P0060.1516"" target=""_blank"">Kurstillfalle</a>"	"<a href=""https://slukurs.slu.se/arkivering/kursplanPhD.cfm?Kurskod=PNS0074"" target=""_blank"">Kursplan sv</a>"	"<a href=""https://slukurs.slu.se/arkivering/kursplanPhD.cfm?Kurskod=PNS0074"" target=""_blank"">Kursplan en</a>"	"<a href=""kursplanPhDJson.cfm?Kurskod=PNS0074"" target=""_blank"">Json</a>"	Multivariata metoder för ekologer
774	PNS0074	P0064	1516		280	ma	"<a href=""https://slukurs.slu.se/arkivering/kurstillfallePhD.cfm?anmkod=P0064.1516"" target=""_blank"">Kurstillfalle</a>"	"<a href=""https://slukurs.slu.se/arkivering/kursplanPhD.cfm?Kurskod=PNS0074"" target=""_blank"">Kursplan sv</a>"	"<a href=""https://slukurs.slu.se/arkivering/kursplanPhD.cfm?Kurskod=PNS0074"" target=""_blank"">Kursplan en</a>"	"<a href=""kursplanPhDJson.cfm?Kurskod=PNS0074"" target=""_blank"">Json</a>"	Multivariata metoder för ekologer
775	PNS0075	P0033	1011		280	ma	"<a href=""https://slukurs.slu.se/arkivering/kurstillfallePhD.cfm?anmkod=P0033.1011"" target=""_blank"">Kurstillfalle</a>"	"<a href=""https://slukurs.slu.se/arkivering/kursplanPhD.cfm?Kurskod=PNS0075"" target=""_blank"">Kursplan sv</a>"	"<a href=""https://slukurs.slu.se/arkivering/kursplanPhD.cfm?Kurskod=PNS0075"" target=""_blank"">Kursplan en</a>"	"<a href=""kursplanPhDJson.cfm?Kurskod=PNS0075"" target=""_blank"">Json</a>"	Soil systems: Integrating the chemical, biophysical interface in soils
776	PNS0079	P0037	1011		480	vbsg	"<a href=""https://slukurs.slu.se/arkivering/kurstillfallePhD.cfm?anmkod=P0037.1011"" target=""_blank"">Kurstillfalle</a>"	"<a href=""https://slukurs.slu.se/arkivering/kursplanPhD.cfm?Kurskod=PNS0079"" target=""_blank"">Kursplan sv</a>"	"<a href=""https://slukurs.slu.se/arkivering/kursplanPhD.cfm?Kurskod=PNS0079"" target=""_blank"">Kursplan en</a>"	"<a href=""kursplanPhDJson.cfm?Kurskod=PNS0079"" target=""_blank"">Json</a>"	Växt-mikrobinteraktioner
777	PNS0079	P0056	1112		480	vbsg	"<a href=""https://slukurs.slu.se/arkivering/kurstillfallePhD.cfm?anmkod=P0056.1112"" target=""_blank"">Kurstillfalle</a>"	"<a href=""https://slukurs.slu.se/arkivering/kursplanPhD.cfm?Kurskod=PNS0079"" target=""_blank"">Kursplan sv</a>"	"<a href=""https://slukurs.slu.se/arkivering/kursplanPhD.cfm?Kurskod=PNS0079"" target=""_blank"">Kursplan en</a>"	"<a href=""kursplanPhDJson.cfm?Kurskod=PNS0079"" target=""_blank"">Json</a>"	Växt-mikrobinteraktioner
778	PNS0079	P0059	1213		480	vbsg	"<a href=""https://slukurs.slu.se/arkivering/kurstillfallePhD.cfm?anmkod=P0059.1213"" target=""_blank"">Kurstillfalle</a>"	"<a href=""https://slukurs.slu.se/arkivering/kursplanPhD.cfm?Kurskod=PNS0079"" target=""_blank"">Kursplan sv</a>"	"<a href=""https://slukurs.slu.se/arkivering/kursplanPhD.cfm?Kurskod=PNS0079"" target=""_blank"">Kursplan en</a>"	"<a href=""kursplanPhDJson.cfm?Kurskod=PNS0079"" target=""_blank"">Json</a>"	Växt-mikrobinteraktioner
779	PNS0079	P0059	1415		480	vbsg	"<a href=""https://slukurs.slu.se/arkivering/kurstillfallePhD.cfm?anmkod=P0059.1415"" target=""_blank"">Kurstillfalle</a>"	"<a href=""https://slukurs.slu.se/arkivering/kursplanPhD.cfm?Kurskod=PNS0079"" target=""_blank"">Kursplan sv</a>"	"<a href=""https://slukurs.slu.se/arkivering/kursplanPhD.cfm?Kurskod=PNS0079"" target=""_blank"">Kursplan en</a>"	"<a href=""kursplanPhDJson.cfm?Kurskod=PNS0079"" target=""_blank"">Json</a>"	Växt-mikrobinteraktioner
780	PNS0079	P0062	1314		480	vbsg	"<a href=""https://slukurs.slu.se/arkivering/kurstillfallePhD.cfm?anmkod=P0062.1314"" target=""_blank"">Kurstillfalle</a>"	"<a href=""https://slukurs.slu.se/arkivering/kursplanPhD.cfm?Kurskod=PNS0079"" target=""_blank"">Kursplan sv</a>"	"<a href=""https://slukurs.slu.se/arkivering/kursplanPhD.cfm?Kurskod=PNS0079"" target=""_blank"">Kursplan en</a>"	"<a href=""kursplanPhDJson.cfm?Kurskod=PNS0079"" target=""_blank"">Json</a>"	Växt-mikrobinteraktioner
781	PNS0081	P0059	1011		595	sol	"<a href=""https://slukurs.slu.se/arkivering/kurstillfallePhD.cfm?anmkod=P0059.1011"" target=""_blank"">Kurstillfalle</a>"	"<a href=""https://slukurs.slu.se/arkivering/kursplanPhD.cfm?Kurskod=PNS0081"" target=""_blank"">Kursplan sv</a>"	"<a href=""https://slukurs.slu.se/arkivering/kursplanPhD.cfm?Kurskod=PNS0081"" target=""_blank"">Kursplan en</a>"	"<a href=""kursplanPhDJson.cfm?Kurskod=PNS0081"" target=""_blank"">Json</a>"	Landsbygdens företagande
782	PNS0082	P0009	1112		280	ma	"<a href=""https://slukurs.slu.se/arkivering/kurstillfallePhD.cfm?anmkod=P0009.1112"" target=""_blank"">Kurstillfalle</a>"	"<a href=""https://slukurs.slu.se/arkivering/kursplanPhD.cfm?Kurskod=PNS0082"" target=""_blank"">Kursplan sv</a>"	"<a href=""https://slukurs.slu.se/arkivering/kursplanPhD.cfm?Kurskod=PNS0082"" target=""_blank"">Kursplan en</a>"	"<a href=""kursplanPhDJson.cfm?Kurskod=PNS0082"" target=""_blank"">Json</a>"	Catchment science to support public policy: Defining the consequences of human impact and management
783	PNS0083	P0012	1213		595	sol	"<a href=""https://slukurs.slu.se/arkivering/kurstillfallePhD.cfm?anmkod=P0012.1213"" target=""_blank"">Kurstillfalle</a>"	"<a href=""https://slukurs.slu.se/arkivering/kursplanPhD.cfm?Kurskod=PNS0083"" target=""_blank"">Kursplan sv</a>"	"<a href=""https://slukurs.slu.se/arkivering/kursplanPhD.cfm?Kurskod=PNS0083"" target=""_blank"">Kursplan en</a>"	"<a href=""kursplanPhDJson.cfm?Kurskod=PNS0083"" target=""_blank"">Json</a>"	Bioenergi och samhällsvetenskap: ekonomi och sociologi
784	PNS0084	P0015	1112		565	et	"<a href=""https://slukurs.slu.se/arkivering/kurstillfallePhD.cfm?anmkod=P0015.1112"" target=""_blank"">Kurstillfalle</a>"	"<a href=""https://slukurs.slu.se/arkivering/kursplanPhD.cfm?Kurskod=PNS0084"" target=""_blank"">Kursplan sv</a>"	"<a href=""https://slukurs.slu.se/arkivering/kursplanPhD.cfm?Kurskod=PNS0084"" target=""_blank"">Kursplan en</a>"	"<a href=""kursplanPhDJson.cfm?Kurskod=PNS0084"" target=""_blank"">Json</a>"	Avancerade avloppssystem
785	PNS0085	P0007	1213		510	ekon	"<a href=""https://slukurs.slu.se/arkivering/kurstillfallePhD.cfm?anmkod=P0007.1213"" target=""_blank"">Kurstillfalle</a>"	"<a href=""https://slukurs.slu.se/arkivering/kursplanPhD.cfm?Kurskod=PNS0085"" target=""_blank"">Kursplan sv</a>"	"<a href=""https://slukurs.slu.se/arkivering/kursplanPhD.cfm?Kurskod=PNS0085"" target=""_blank"">Kursplan en</a>"	"<a href=""kursplanPhDJson.cfm?Kurskod=PNS0085"" target=""_blank"">Json</a>"	Statistisk programmering i R, 5hp
786	PNS0085	P0030	1314		510	ekon	"<a href=""https://slukurs.slu.se/arkivering/kurstillfallePhD.cfm?anmkod=P0030.1314"" target=""_blank"">Kurstillfalle</a>"	"<a href=""https://slukurs.slu.se/arkivering/kursplanPhD.cfm?Kurskod=PNS0085"" target=""_blank"">Kursplan sv</a>"	"<a href=""https://slukurs.slu.se/arkivering/kursplanPhD.cfm?Kurskod=PNS0085"" target=""_blank"">Kursplan en</a>"	"<a href=""kursplanPhDJson.cfm?Kurskod=PNS0085"" target=""_blank"">Json</a>"	Statistisk programmering i R, 5hp
787	PNS0085	P0032	1112		510	ekon	"<a href=""https://slukurs.slu.se/arkivering/kurstillfallePhD.cfm?anmkod=P0032.1112"" target=""_blank"">Kurstillfalle</a>"	"<a href=""https://slukurs.slu.se/arkivering/kursplanPhD.cfm?Kurskod=PNS0085"" target=""_blank"">Kursplan sv</a>"	"<a href=""https://slukurs.slu.se/arkivering/kursplanPhD.cfm?Kurskod=PNS0085"" target=""_blank"">Kursplan en</a>"	"<a href=""kursplanPhDJson.cfm?Kurskod=PNS0085"" target=""_blank"">Json</a>"	Statistisk programmering i R, 5hp
788	PNS0087	P0039	1112		435	mark	"<a href=""https://slukurs.slu.se/arkivering/kurstillfallePhD.cfm?anmkod=P0039.1112"" target=""_blank"">Kurstillfalle</a>"	"<a href=""https://slukurs.slu.se/arkivering/kursplanPhD.cfm?Kurskod=PNS0087"" target=""_blank"">Kursplan sv</a>"	"<a href=""https://slukurs.slu.se/arkivering/kursplanPhD.cfm?Kurskod=PNS0087"" target=""_blank"">Kursplan en</a>"	"<a href=""kursplanPhDJson.cfm?Kurskod=PNS0087"" target=""_blank"">Json</a>"	Vilken roll har DOC och DON i mark-växtsystemets kol- och kvävecykel?
789	PNS0088	P0017	1314		280	ma	"<a href=""https://slukurs.slu.se/arkivering/kurstillfallePhD.cfm?anmkod=P0017.1314"" target=""_blank"">Kurstillfalle</a>"	"<a href=""https://slukurs.slu.se/arkivering/kursplanPhD.cfm?Kurskod=PNS0088"" target=""_blank"">Kursplan sv</a>"	"<a href=""https://slukurs.slu.se/arkivering/kursplanPhD.cfm?Kurskod=PNS0088"" target=""_blank"">Kursplan en</a>"	"<a href=""kursplanPhDJson.cfm?Kurskod=PNS0088"" target=""_blank"">Json</a>"	Biogeochemical cycles at different scales
790	PNS0088	P0049	1112		280	ma	"<a href=""https://slukurs.slu.se/arkivering/kurstillfallePhD.cfm?anmkod=P0049.1112"" target=""_blank"">Kurstillfalle</a>"	"<a href=""https://slukurs.slu.se/arkivering/kursplanPhD.cfm?Kurskod=PNS0088"" target=""_blank"">Kursplan sv</a>"	"<a href=""https://slukurs.slu.se/arkivering/kursplanPhD.cfm?Kurskod=PNS0088"" target=""_blank"">Kursplan en</a>"	"<a href=""kursplanPhDJson.cfm?Kurskod=PNS0088"" target=""_blank"">Json</a>"	Biogeochemical cycles at different scales
791	PNS0089	P0053	1112		595	sol	"<a href=""https://slukurs.slu.se/arkivering/kurstillfallePhD.cfm?anmkod=P0053.1112"" target=""_blank"">Kurstillfalle</a>"	"<a href=""https://slukurs.slu.se/arkivering/kursplanPhD.cfm?Kurskod=PNS0089"" target=""_blank"">Kursplan sv</a>"	"<a href=""https://slukurs.slu.se/arkivering/kursplanPhD.cfm?Kurskod=PNS0089"" target=""_blank"">Kursplan en</a>"	"<a href=""kursplanPhDJson.cfm?Kurskod=PNS0089"" target=""_blank"">Json</a>"	Politisk ekologi
792	PNS0090	P0012	1112		480	vbsg	"<a href=""https://slukurs.slu.se/arkivering/kurstillfallePhD.cfm?anmkod=P0012.1112"" target=""_blank"">Kurstillfalle</a>"	"<a href=""https://slukurs.slu.se/arkivering/kursplanPhD.cfm?Kurskod=PNS0090"" target=""_blank"">Kursplan sv</a>"	"<a href=""https://slukurs.slu.se/arkivering/kursplanPhD.cfm?Kurskod=PNS0090"" target=""_blank"">Kursplan en</a>"	"<a href=""kursplanPhDJson.cfm?Kurskod=PNS0090"" target=""_blank"">Json</a>"	Real time quantitative PCR in theory and practice
793	PNS0091	P0062	1112		510	ekon	"<a href=""https://slukurs.slu.se/arkivering/kurstillfallePhD.cfm?anmkod=P0062.1112"" target=""_blank"">Kurstillfalle</a>"	"<a href=""https://slukurs.slu.se/arkivering/kursplanPhD.cfm?Kurskod=PNS0091"" target=""_blank"">Kursplan sv</a>"	"<a href=""https://slukurs.slu.se/arkivering/kursplanPhD.cfm?Kurskod=PNS0091"" target=""_blank"">Kursplan en</a>"	"<a href=""kursplanPhDJson.cfm?Kurskod=PNS0091"" target=""_blank"">Json</a>"	Marketing Classics
794	PNS0091	P0076	1516		510	ekon	"<a href=""https://slukurs.slu.se/arkivering/kurstillfallePhD.cfm?anmkod=P0076.1516"" target=""_blank"">Kurstillfalle</a>"	"<a href=""https://slukurs.slu.se/arkivering/kursplanPhD.cfm?Kurskod=PNS0091"" target=""_blank"">Kursplan sv</a>"	"<a href=""https://slukurs.slu.se/arkivering/kursplanPhD.cfm?Kurskod=PNS0091"" target=""_blank"">Kursplan en</a>"	"<a href=""kursplanPhDJson.cfm?Kurskod=PNS0091"" target=""_blank"">Json</a>"	Marketing Classics
795	PNS0093	P0071	1112		500	vpe	"<a href=""https://slukurs.slu.se/arkivering/kurstillfallePhD.cfm?anmkod=P0071.1112"" target=""_blank"">Kurstillfalle</a>"	"<a href=""https://slukurs.slu.se/arkivering/kursplanPhD.cfm?Kurskod=PNS0093"" target=""_blank"">Kursplan sv</a>"	"<a href=""https://slukurs.slu.se/arkivering/kursplanPhD.cfm?Kurskod=PNS0093"" target=""_blank"">Kursplan en</a>"	"<a href=""kursplanPhDJson.cfm?Kurskod=PNS0093"" target=""_blank"">Json</a>"	Production of biomass for energy - quantity and quality aspects
796	PNS0095	P0078	1112		480	vbsg	"<a href=""https://slukurs.slu.se/arkivering/kurstillfallePhD.cfm?anmkod=P0078.1112"" target=""_blank"">Kurstillfalle</a>"	"<a href=""https://slukurs.slu.se/arkivering/kursplanPhD.cfm?Kurskod=PNS0095"" target=""_blank"">Kursplan sv</a>"	"<a href=""https://slukurs.slu.se/arkivering/kursplanPhD.cfm?Kurskod=PNS0095"" target=""_blank"">Kursplan en</a>"	"<a href=""kursplanPhDJson.cfm?Kurskod=PNS0095"" target=""_blank"">Json</a>"	Electron microscopy and thermal analysis - applications in environmental and life sciences
